ristorante,nome_ricetta,ingredienti
Eco di Pandora,Viaggio Cosmico nel Multiverso,"Shard di Prisma Stellare, Foglie di Nebulosa, Foglie di Mandragora, Carne di Mucca, Essenza di Speziaria"
Eco di Pandora,Danza Luminosa del Multiverso,"Uova di Fenice, Biscotti della Galassia, Farina di Nettuno, Nettare di Sirena, Essenza di Vuoto"
Eco di Pandora,Microcosmo in un Boccone,"Cristalli di Memoria, Baccacedro, Carne di Mucca, Carne di Xenodonte, Carne di Drago, Biscotti della Galassia, Pane di Luce, Granuli di Nebbia Arcobaleno, Funghi Orbitali, Essenza di Speziaria"
Eco di Pandora,Nebulose della Fenice su Vento Lunare,"Polvere di Stelle, Baccacedro, Foglie di Nebulosa, Uova di Fenice, Fusilli del Vento, Muffa Lunare, Sale Temporale"
Eco di Pandora,Nebulose Pensanti: Sinfonia del Multiverso,"Vero Ghiaccio, Foglie di Nebulosa, Radici di Gravità, Carne di Kraken, Gnocchi del Crepuscolo, Fusilli del Vento, Farina di Nettuno, Funghi Orbitali, Sale Temporale"
Eredita Galattica,Sinfonia Tempolare Galattica,"Polvere di Crononite, Radici di Gravità, Liane di Plasmodio, Foglie di Nebulosa, Carne di Kraken, Carne di Mucca, Spaghi del Sole, Pane di Luce, Amido di Stellarion, Funghi Orbitali, Erba Pipa"
Eredita Galattica,Cosmopolis delle Galassie Perdute,"Polvere di Stelle, Colonia di Mycoflora, Carne di Balena spaziale, Carne di Drago, Teste di Idra, Farina di Nettuno, Lacrime di Unicorno, Spezie Melange"
Eredita Galattica,Galassia Risvegliata,"Frammenti di Supernova, Colonia di Mycoflora, Uova di Fenice, Fibra di Sintetex, Riso di Cassandra, Nettare di Sirena"
Eredita Galattica,Sinfonia Temporale nello Spaghi del Sole,"Polvere di Crononite, Alghe Bioluminescenti, Carne di Xenodonte, Teste di Idra, Spaghi del Sole, Spezie Melange"
Eredita Galattica,Sinfonia di Crepuscolo Celestiale,"Cristalli di Nebulite, Gnocchi del Crepuscolo, Amido di Stellarion, Farina di Nettuno, Lacrime di Unicorno, Salsa Szechuan"
Eredita Galattica,Sinfonia di Stagioni Stellari,"Cristalli di Memoria, Alghe Bioluminescenti, Foglie di Nebulosa, Carne di Drago, Carne di Xenodonte, Fibra di Sintetex, Amido di Stellarion, Funghi Orbitali, Sale Temporale"
Eredita Galattica,Viaggio dei Sensi: Bolla Temporale di Aromi Ancestrali,"Cristalli di Memoria, Carne di Xenodonte, Carne di Kraken, Teste di Idra, Essenza di Tachioni"
Eredita Galattica,Sfogliare Galattico di Sogni Temporali,"Shard di Prisma Stellare, Alghe Bioluminescenti, Lattuga Namecciana, Carne di Xenodonte, Fusilli del Vento, Essenza di Vuoto"
Eredita Galattica,Nebulosa di Fenice con Sinfonia Eterea,"Cristalli di Nebulite, Fibra di Sintetex, Uova di Fenice, Funghi dell’Etere, Petali di Eco"
Eredita Galattica,Sinfonia Temporale al Tocco di Crono,"Vero Ghiaccio, Lattuga Namecciana, Baccacedro, Carne di Mucca, Uova di Fenice, Pane degli Abissi, Riso di Cassandra, Spaghi del Sole, Spore Quantiche, Essenza di Tachioni"
Essenza dell Infinito,Rinascita Cosmica,"Frammenti di Supernova, Alghe Bioluminescenti, Radici di Singolarità, Teste di Idra, Uova di Fenice, Amido di Stellarion, Nettare di Sirena, Frutti del Diavolo"
Essenza dell Infinito,Il Rapsodo Celestiale,"Shard di Materia Oscura, Colonia di Mycoflora, Uova di Fenice, Pane di Luce, Gnocchi del Crepuscolo, Biscotti della Galassia, Funghi Orbitali, Essenza di Vuoto, Sashimi di Magicarp"
Essenza dell Infinito,Bistecca Cacofonica dell'Infinito,"Frammenti di Supernova, Alghe Bioluminescenti, Carne di Kraken, Pane degli Abissi, Farina di Nettuno, Spaghi del Sole, Sale Temporale, Pickle Rick Croccante"
Essenza dell Infinito,Galassia di Sapori: Il Viaggio Senza Tempo,"Shard di Materia Oscura, Foglie di Mandragora, Foglie di Nebulosa, Fibra di Sintetex, Spaghi del Sole, Pane di Luce, Fusilli del Vento, Muffa Lunare, Chocobo Wings"
Essenza dell Infinito,Pizza Cosmica all'Essenza di Drago con Nebbia Arcobaleno e Funghi Orbitali,"Cristalli di Nebulite, Teste di Idra, Carne di Drago, Carne di Balena spaziale, Granuli di Nebbia Arcobaleno, Biscotti della Galassia, Amido di Stellarion, Funghi Orbitali, Essenza di Tachioni, Latte+"
Essenza dell Infinito,Mycoflora con Polvere di Stelle Sbagliato,"Polvere di Stelle, Colonia di Mycoflora, Teste di Idra, Lacrime di Andromeda, Essenza di Speziaria"
Essenza dell Infinito,Nebulosa di Sapori dell'Infinito,"Lattuga Namecciana, Foglie di Nebulosa, Carne di Xenodonte, Plasma Vitale, Nduja Fritta, Tanto"
Essenza dell Infinito,Sinfonia dell'Infinito: Un Viaggio Gnodale tra Terra e Universi,"Radici di Gravità, Uova di Fenice, Carne di Mucca, Carne di Kraken, Lacrime di Andromeda, Essenza di Speziaria"
Essenza dell Infinito,Tris di Verdure con Xenodonte,"Cristalli di Memoria, Radici di Gravità, Foglie di Mandragora, Foglie di Nebulosa, Carne di Xenodonte, Fibra di Sintetex, Pane degli Abissi, Essenza di Tachioni"
Essenza dell Infinito,Falso Risotto dell'Infinito Multiverso,"Cristalli di Memoria, Uova di Fenice, Carne di Balena spaziale, Granuli di Nebbia Arcobaleno, Farina di Nettuno, Funghi Orbitali, Spezie Melange"
Il Firmamento,Galassia di Fusilli Sferici alla Risonanza Crononica,"Fusilli del Vento, Nettare di Sirena, Carne di Kraken, Balena Spaziale, Salsa Szechuan, Farina di Nettuno, Polvere di Crononite, Fibra di Sintetex"
Il Firmamento,Galassia Rinascente,"Lattuga Namecciana, Muffa Lunare, Carne di Drago, Uovo di Fenice, Biscotti della Galassia, Carne delle Teste di Idra"
Il Firmamento,Mandragora e Radici,"Polvere di Stelle, Radici di Gravità, Foglie di Mandragora, Lacrime di Unicorno, Nduja Fritta Tanto"
Il Firmamento,Galaxia Rinasciata,"Uova di Fenice, Lacrime di Unicorno, Spezie Melange, Baccacedro, Biscotti della Galassia"
Il Firmamento,Cosmic Harmony,"Foglie di Mandragora, Radici di Gravità, Lacrime di Unicorno, Lattuga Namecciana, Petali di Eco"
Il Firmamento,Nebulosa di Sapori Quantici,"Riso di Cassandra, Funghi Orbitali, Essenza di Vuoto, Radici di Singolarità, Cristalli di Nebulite"
Il Firmamento,Galassia in Tavola: Sinfonia dei Sensi,"Spaghi del Sole, Gnocchi del Crepuscolo, Muffa Lunare, Baccacedro, Spezie Melange"
Il Firmamento,Galassie alla Spirale di Vento con Sfera di Ghiaccio Eterno,"Fusilli del Vento, Carne di Xenodonte, Teste di Idra, Farina di Nettuno, Gnocchi del Crepuscolo, Radici di Gravità, Lacrime di Andromeda, Nduja Fritta Tanto"
L Architetto dell Universo,Galassia Riflessa,"Pane degli Abissi, Foglie di Nebulosa, Carne di Balena spaziale, Colonia di Mycoflora, Uova di Fenice, Lacrime di Unicorno, Petali di Eco, Congelamento Bio-Luminiscente Sincronico"
L Architetto dell Universo,Enigma Celeste,"Carne di drago, Gnocchi del Crepuscolo, Spore Quantiche, Vero Ghiaccio, Pane di Luce"
L Architetto dell Universo,Galassia d'Aromi Perduti,"Spaghi del Sole, Bollitura Entropica Sincronizzata, Pane di Luce, Erba Pipa, Lacrime di Unicorno, Cristalli di Nebulite, Congelamento Bio-Luminiscente Sincronico, Decostruzione Ancestrale"
L Architetto dell Universo,Galassia a Tavola: Sinfonia di Tempeste Cosmiche,"Carne di Xenodonte, Teste di Idra, Funghi Orbitali, Liane di Plasmodio, Foglie di Nebulosa, Essenza di Tachioni"
L Architetto dell Universo,Portale Astrale di Sapori,"Carne di Kraken, Carne di Balena spaziale, Nebulite, Pane di Luce, Nettare di Sirena, Nduja Fritta Tanto"
L Architetto dell Universo,Cosmic Harmony Risotto,"Riso di Cassandra, Polvere di Pulsar, Pane di Luce, Lacrime di Unicorno, Spezie Melange, Bollitura Termografica a Rotazione Veloce"
L Architetto dell Universo,Galassia di Celestial Delight,"Soufflé al Vero Ghiaccio, Uova di Fenice, Radici di Singolarità, Colonia di Mycoflora, Essenza di Tachioni, Pane di Farina di Nettuno"
L Architetto dell Universo,Pioggia Calante dell'Universo,"Carne di balena spaziale, Spaghi del Sole, shard di materia oscura, plasma vitale, foglie di mandragora, petali di eco, buccia del baccacedro"
L Architetto dell Universo,Creazione Celestiale: L'Alba del Cosmo,"Liane di Plasmodio, Carne di Balena spaziale, Spaghi del Sole, Polvere di Pulsar, Muffa Lunare, Sale Temporale, Biscotti della Galassia"
L Architetto dell Universo,Cosmic Rhapsody,"Carne di Drago, Carne di Kraken, Funghi dell’Etere, Amido di Stellarion, Polvere di Pulsar"
L Eco dei Sapori,Galassia Infinita: Viaggio tra Memorie e Stelle,"Pane di Luce, Spore Quantiche, Proteine di mare e terra, Essenza di Tachioni, Farina di Nettuno, Sferificazione tramite Matrici Biofotiche, Cristalli di Memoria, Biscotti della Galassia"
L Eco dei Sapori,Eterna Sinfonia del Cosmo,"Carne di mucca, Marinatura Sotto Zero a Polarità Inversa, Nettare di Sirena, Cottura Idrodinamica Autoregolante, Proteine rigenerative delle teste di idra, Decostruzione Magnetica Risonante, Alghe Bioluminescenti, Biscotti della Galassia, Shard di Materia Oscura, Bollitura Infrasonica Armonizzata, Marinatura Temporale Sincronizzata dell'Essenza di Speziaria"
L Eco dei Sapori,Sinfonia Cosmica di Aurora,"Riso di Cassandra, Ebollizione Magneto-Cinetica Pulsante, Pane di Luce, Granuli di Nebbia Arcobaleno, Erba Pipa, Polvere di Pulsar, Incisione Elettromagnetica Plasmica"
L Eco dei Sapori,Galaxia Gustativa,"Amido di Stellarion, Shard di Materia Oscura, Funghi Orbitali, Bollitura Infrasonica Armonizzata, Granuli di Nebbia Arcobaleno, Baccacedro, Fermentazione Quantico Biometrica, Cryo-Tessitura Energetica Polarizzata"
L Eco dei Sapori,Crescendo Cosmico,"Spaghi del Sole, Gnocchi del Crepuscolo, Xenodonte, Polvere di Pulsar, Radici di Singolarità, Colonia di Mycoflora, Spore Quantiche, Congelamento Bio-Luminiscente Sincronico"
L Eco dei Sapori,Simfonia Celeste di Aurora,"Fusilli del Vento, Carne di Xenodonte, Cottura a Vapore con Flusso di Particelle Isoarmoniche, Decostruzione Magnetica Risonante, Mousse di Amido di Stellarion, Colonia di Mycoflora, Alghe Bioluminescenti, Polvere di Pulsar, Muffa Lunare, Cryo-Tessitura Energetica Polarizzata"
L Eco dei Sapori,Portale del Cosmo: Sinfonia di Sapori e Tempi,"Pane degli Abissi, Muffa Lunare, Fibra di Sintetex, Radici di Gravità, Colonia di Mycoflora, Marinatura Psionica, Shard di Prisma Stellare, Funghi Orbitali, Granuli di Nebbia Arcobaleno, Baccacedro, Fermentazione Quantico Biometrica, Cryo-Tessitura Energetica Polarizzata"
L Eco dei Sapori,Verso l'Inedito Oltre,"Lattuga Namecciana, Carne di Drago, Carne di Mucca, Nettare di Sirena, Teste di Idra, Spezie Melange"
L Eco dei Sapori,Sinfonia di Galassie Perdute,"Radici di Singolarità, Lattuga Namecciana, Sferificazione tramite Matrici Biofotiche, Muffa Lunare, Stratificazione Quantica, Cristalli di Memoria, Spezie Melange"
L Eco dei Sapori,Sinfonia degli Elementi Eterni,"Liane di Plasmodio, Radici di Singolarità, Marinatura Psionica, Foglie di Mandragora, Uova di Fenice, Carne di Kraken, Farina di Nettuno, Pane di Luce, Lacrime di Andromeda, Fermentazione Quantico Biometrica, Sferificazione filamentare a molecole vibrazionali"
L Equilibrio Quantico,Sinfonia del Multiverso Nascente,"Polvere di Crononite, Carne di Balena spaziale, Fibra di Sintetex, Gnocchi del Crepuscolo, Muffa Lunare, Essenza di Vuoto"
L Equilibrio Quantico,Antipasto Stellare dell'Eterna Armonia,"Polvere di Crononite, Baccacedro, Fibra di Sintetex, Teste di Idra, Pane di Luce, Farina di Nettuno, Spore Quantiche, Essenza di Speziaria"
L Equilibrio Quantico,Essenze dell'Infinito,"Lattuga Namecciana, Baccacedro, Carne di Kraken, Funghi Orbitali, Essenza di Vuoto"
L Equilibrio Quantico,Etereo Crepuscolare,"Vero Ghiaccio, Colonia di Mycoflora, Lattuga Namecciana, Gnocchi del Crepuscolo, Granuli di Nebbia Arcobaleno"
L Equilibrio Quantico,Sinfonia del Multiverso Calante,"Shard di Prisma Stellare, Granuli di Nebbia Arcobaleno, Fusilli del Vento, Pane degli Abissi, Lacrime di Unicorno"
L Equilibrio Quantico,Sinfonia Quantica dell’Oceano Interstellare,"Vero Ghiaccio, Carne di Xenodonte, Teste di Idra, Carne di Kraken, Nettare di Sirena, Essenza di Vuoto"
L Equilibrio Quantico,Sinfonia Temporale di Fenice e Xenodonte su Pane degli Abissi con Colata di Plasma Vitale e Polvere di Crononite,"Polvere di Crononite, Uova di Fenice, Carne di Xenodonte, Pane degli Abissi, Plasma Vitale"
L Equilibrio Quantico,Nebulare Asteroideo con Crepuscolo di Mucca,"Cristalli di Nebulite, Foglie di Nebulosa, Liane di Plasmodio, Fibra di Sintetex, Teste di Idra, Carne di Mucca, Pane degli Abissi, Fusilli del Vento, Gnocchi del Crepuscolo, Plasma Vitale, Erba Pipa"
L Equilibrio Quantico,Sinfonia Temporale del Drago,"Polvere di Crononite, Radici di Gravità, Baccacedro, Carne di Drago, Amido di Stellarion, Biscotti della Galassia, Nettare di Sirena"
L Equilibrio Quantico,Il Viaggio delle Dimensioni Confluenti,"Polvere di Crononite, Baccacedro, Carne di Balena spaziale, Teste di Idra, Carne di Mucca, Riso di Cassandra, Amido di Stellarion, Funghi dell’Etere, Essenza di Speziaria"
L Essenza Cosmica,Nebulosa di Drago Interdimensionale,"Marinatura Temporale Sincronizzata della Carne di Drago, Grigliatura Elettro-Molecolare a Spaziatura Variabile, Pane di Luce, Amido di Stellarion, Nettare di Sirena, Salsa Szechuan, Taglio a Risonanza Sonica Rigenerativa"
L Essenza Cosmica,Sinfonia Cosmica: La Danza dell'Universo,"Pane di Luce, Risotto di Alghe Bioluminescenti e Foglie di Nebulosa, Carne di Drago con Cottura Olografica Quantum Fluttuante, Pane degli Abissi, Brodo di Lacrime di Andromeda, Polvere di Crononite, Mycoflora fresca, Affumicatura a Stratificazione Quantica"
L Essenza Cosmica,Interstellar Requiem,"Raviolo con Colonia di Mycoflora fermentata psionicamente, Shard di Prisma Stellare, Alghe Bioluminescenti, Essenza di Speziaria, Cottura a Vapore Termocinetica Multipla, Fermentazione Psionica Energetica"
L Essenza Cosmica,Nebulae Di-Cedri Risvegliati,"Polvere di Pulsar, Granuli di Nebbia Arcobaleno, Radici di Singolarità, Bollitura Infrasonica Armonizzata, Foglie di Mandragora, Cottura Olografica Quantum Fluttuante, Salsa Szechuan, Baccacedro, Taglio a Risonanza Sonica Rigenerativa, Cottura Sottovuoto Bioma Sintetico, Cottura Sottovuoto Frugale Energeticamente Negativa"
L Essenza Cosmica,Nebulosa dell'Infinito: Un Viaggio attraverso il Cosmo del Gusto,"Carne di Kraken con Affumicatura Temporale Risonante, Spaghi del Sole, Granuli di Nebbia Arcobaleno, Alghe Bioluminescenti, Pane di Luce, Nettare di Sirena, Salsa Szechuan"
L Essenza Cosmica,Nebulosa Eterna,"Riso di Cassandra con Bollitura Entropica Sincronizzata, Carne di Drago con Affumicatura a Stratificazione Quantica, Alghe Bioluminescenti, Foglie di Nebulosa, Pane degli Abissi, Plasma Vitale, Essenza di Vuoto, Cristalli di Memoria"
L Essenza Cosmica,Risveglio Cosmico,"Carpaccio di Carne di Kraken, Muffa Lunare, Sale Temporale, Risotto Galattico, Farina di Nettuno, Amido di Stellarion, Pane di Luce, Mousse di Shard di Prisma Stellare, Affumicatura Psionica Sensoriale, Affumicatura Temporale Risonante"
L Essenza Cosmica,Aurora del Cosmo,"Radici di Singolarità, Cottura Sottovuoto Frugale Energeticamente Negativa, Cottura con Microonde Entropiche Sincronizzate, Nettare di Sirena, Shard di Prisma Stellare, Foglie di Nebulosa, Cottura Sottovuoto Bioma Sintetico"
L Essenza Cosmica,Galassia nel Piatto: Sinfonia di Sapori e Dimensioni,"Gnocchi del Crepuscolo, Carne di Drago con affumicatura temporale risonante, Carne di Balena spaziale con Amalgamazione Sintetica Molecolare, Uovo di Fenice, Pane di Luce, Lacrime di Unicorno, Fusilli del Vento, Lattuga Namecciana, Radici di Singolarità, Affettamento a Pulsazioni Quantistiche, Bollitura Infrasonica Armonizzata, Frammenti di Supernova cristallizzati, Plasma Vitale, Essenza di Vuoto, Cristalli di Memoria"
L Essenza Cosmica,Nebulosa Celeste di Terrafirma,"Fusilli del Vento, Carne di Drago con affumicatura temporale risonante, Carne di Balena spaziale con Amalgamazione Sintetica Molecolare, Uovo di Fenice, Pane di Luce, Lacrime di Unicorno"
L Essenza del Multiverso su Pandora,Viaggio Gastronomico tra le Stelle,"Fusilli del Vento, Carne di Balena spaziale, Radici di Singolarità, Essenza di Tachioni"
L Essenza del Multiverso su Pandora,Sinfonia del Cosmo Rigenerante,"Carne di Balena Spaziale, Cristalli di Memoria, Uova di Fenice, Lacrime di Unicorno, Biscotti della Galassia, Sale Temporale"
L Essenza del Multiverso su Pandora,Delizia Astrale all'Essenza del Multiverso,"Radici di Singolarità, Carne di Kraken, Foglie di Nebulosa, Uova di Fenice, Alghe Bioluminescenti, Vero Ghiaccio, Essenza di Tachioni"
L Essenza del Multiverso su Pandora,Melodia del Multiverso Parallelo,"Carne di Mucca, Incisione Elettromagnetica Plasmica, Uova di Fenice, Nduja Fritta Tanto, Fusilli del Vento, Pane degli Abissi, Polvere di Crononite"
L Essenza del Multiverso su Pandora,Portale Interdimensionale di Sapori,"Gnocchi del Crepuscolo, Carne di Kraken, Foglie di Mandragora, Shard di Materia Oscura, Riso di Cassandra, Lacrime di Andromeda, Sferificazione con Campi Magnetici Entropici"
L Essenza del Multiverso su Pandora,Ode al Crepuscolo del Multiverso,"Carne di mucca, Gnocchi del Crepuscolo, Lacrime di Unicorno, Pane degli Abissi, Polvere di Pulsar"
L Essenza del Multiverso su Pandora,Sinfonia Interstellare di Fusilli del Vento con Nettare di Sirena,"Fusilli del Vento, Teste di Idra, Radici di Gravità, Foglie di Mandragora, Polvere di Pulsar"
L Essenza del Multiverso su Pandora,La Voce del Vento,"Carne di Balena Spaziale, Polvere di Pulsar, Foglie di Nebulosa, Funghi dell’Etere, Sale Temporale"
L Essenza del Multiverso su Pandora,Nebulose a Strati,"Farina di Nettuno, Carne di Mucca e di Kraken, Colonia di Mycoflora, Radici di Gravità, Marmellata di Baccacedro, Shard di Prisma Stellare, Zabaione di Plasma Vitale"
